placename	latitude	longitude
Israel	30.8124247	34.8594762
Gaza	-23.328398	32.8066057
Palestine	31.7621153	-95.6307891
United States	39.7837304	-100.445882
Welch	37.4328886	-81.5844357
US	39.7837304	-100.445882
Iraq	33.0955793	44.1749775
West	18.7668687	-72.4387315
Global South	14.5475092	121.0487605
Qatar	25.3336984	51.2295295
Gulf	29.9665252	-85.2175889
Egypt	26.2540493	29.2675469
East Jerusalem	-0.2866302	36.1232886
Netanyahu	32.9248831	35.0897854
Gaza Strip	-37.7137478	145.0748898
South Africa	-28.8166236	24.991639
Russia	64.6863136	97.7453061
Ukraine	49.4871968	31.2718321
China	35.0000663	104.999955
Malaysia	4.5693754	102.2656823
Turkey	39.294076	35.2316631
Jordan	44.6663146	-93.6261918
Bolivia	-17.0568696	-64.9912286
Maldives	3.7203503	73.2244152
Namibia	-23.2335499	17.3231107
Pakistan	30.3308401	71.247499
Columbia	4.099917	-72.9088133
Khan Younis	31.3443293	34.3095897
Middle East	39.3014159	-76.5888477
Hague	43.745553	-73.498535
Bangladesh	24.4769288	90.2934413
Comoros	-12.2045176	44.2832964
Djibouti	11.8145966	42.8453061
Netherlands	52.2434979	5.6343227
United Kingdom	54.7023545	-3.2765753
Myanmar	17.1750495	95.9999652
Beirut	33.8892265	35.5025585
Dahiyeh	33.85	35.51
Lebanon	40.375713	-76.4626118
Iran	32.6475314	54.5643516
Yemen	16.3471243	47.8915271
Beirut Shatila	33.8634736	35.4989049
Red Sea	20.2965624	38.5343146
Africa	11.5024338	17.7578122
Gulf of Aden	12.6147301	47.5063378
Cape of Good Hope	-34.35811	18.47193
Singapore	1.357107	103.8194992
Mediterranean	35.0000035	19.9999957
Indian Ocean	-9.9999999	69.9999999
Europe	51.0	10.0
Asia	51.2086975	89.2343748
Spain	39.3260685	-4.8379791
Canada	61.0666922	-107.991707
Australia	-24.7761086	134.755
Britain	54.3151594	-1.9181532
Germany	51.1638175	10.4478313
Italy	42.6384261	12.674297
Switzerland	46.7985624	8.2319736
