asciiname	frequency
Jabalya	{'regex': '(Jabalya|31\\.5272|34\\.48347|281129|Jabālyā|Dzhabalija,Jabalia,Jabaliya,Jabalya,Jabāliyā,Jabālyā,jbalya,Джабалия,جباليا)', 'count': 2}
Bayt Lahya	{'regex': '(Bayt\\ Lahya|31\\.5464|34\\.49514|281145|Bayt\\ Lāhyā|Bayt\\ Lahiya,Bayt\\ Lahiyah,Bayt\\ Lahya,Bayt\\ Lāhiya,Bayt\\ Lāhiyah,Bayt\\ Lāhyā,Beit\\ Lahia,Beit\\ Lahiya,Beit\\ Lahya,Beit\\ Lāhiya,byt\\ lahya,بيت\\ لاهيا)', 'count': 0}
Jabalia	{'regex': '(Jabalia|31\\.53639|34\\.49454|281128|Jabalia|Jabalia,Mukhayyam\\ Jabaliya,Mukhayyam\\ Jabalya,Mukhayyam\\ Jabāliyā,Mukhayyam\\ Jabālyā,mkhym\\ jbalya,مخيم\\ جباليا)', 'count': 227}
Bayt Hanun	{'regex': '(Bayt\\ Hanun|31\\.5353|34\\.53579|281146|Bayt\\ Ḩānūn|Bait\\ Hanun,Bajt\\ Hanun,Bajt\\ Hánún,Bayt\\ Hanun,Bayt\\ Ḩanūn,Bayt\\ Ḩānūn,Beit\\ Chanoun,Beit\\ Hanoon,Beit\\ Hanoum,Beit\\ Hanoun,Beit\\ Hanun,Beit\\ Hanuna,Beit\\ Hānūna,Bejt\\-Khanun,Beyt\\ Hanun,bai\\ te\\ ha\\ nen,byt\\ hanwn,byt\\ hnwn,Μπέιτ\\ Χανούν,Бейт\\-Ханун,בית\\ חאנון,بيت\\ حانون,بيت\\ حنون,بیت\\ حانون,بیت\u200cحانون,ベイト・ハヌーン,拜特哈嫩)', 'count': 0}
Khan Younis	{'regex': '(Khan\\ Younis|31\\.34929|34\\.29336|281123|Khan\\ Younis|Khan\\ Younis,Khan\\ Younis\\ camp,KhanYounis,Mukhayyam\\ Khan\\ Yunis,Mukhayyam\\ Khan\\ Yunus,Mukhayyam\\ Khanyunis,Mukhayyam\\ Khān\\ Yūnis,Mukhayyam\\ Khān\\ Yūnus,Mukhayyam\\ Khānyūnis,campo\\ de\\ Jan\\ Yunis,campo\\ de\\ Jan\\ Yunís,campo\\ de\\ refugiados\\ de\\ Jan\\ Yunis,campo\\ de\\ refugiados\\ de\\ Jan\\ Yunís,mkhym\\ khan\\ ywns,mkhym\\ khanywns,مخيم\\ خان\\ يونس,مخيم\\ خانيونس)', 'count': 605}
An Nusayrat	{'regex': '(An\\ Nusayrat|31\\.44861|34\\.3925|281109|An\\ Nuşayrāt|An\\ Nusayrat,An\\ Nuşayrāt,Nusayrat,Nuseira,Nuseirat,Nuşayrāt,Nuṣeirā,alnsyrat,النصيرات)', 'count': 0}
Al Burayj	{'regex': '(Al\\ Burayj|31\\.43944|34\\.40306|281161|Al\\ Burayj|Al\\ Buraij,Al\\ Burayj,Al\\-Bureij,Bureij,El\\ Bureij,albryj,البريج)', 'count': 0}
Rafah	{'regex': '(Rafah|31\\.28537|34\\.25186|281101|Rafah|Mukhayyam\\ Rafah,Mukhayyam\\ Rafaḩ,Rafah,mkhym\\ rfh,مخيم\\ رفح)', 'count': 1479}
Bani Suhayla	{'regex': '(Bani\\ Suhayla|31\\.34337|34\\.32337|281148|Banī\\ Suhaylā|Bani\\ Sueheyla,Bani\\ Suhajla,Bani\\ Suhayl,Bani\\ Suhayla,Bani\\ Suhaylah,Bani\\ Suheila,Bani\\ Süheyla,Bani\\-Sukhajla,Baní\\ Suhajla,Banī\\ Suhayl,Banī\\ Suhaylah,Banī\\ Suhaylā,bny\\ shyla,bny\\ swhylh,Бани\\-Сухайла,בני\\ סוהילה,بني\\ سهيلا,بنی\\ سهیلا,بنی\\ سہیلہ,バニ・スヘイラ)', 'count': 0}
Nuseirat	{'regex': '(Nuseirat|31\\.44558|34\\.38983|281108|Nuseirat|Mukhayyam\\ Nusayrat,Mukhayyam\\ Nuşayrāt,Mukhayyam\\ an\\ Nusayrat,Mukhayyam\\ an\\ Nuşayrāt,Nuseirat,mkhym\\ alnsyrat,مخيم\\ النصيرات)', 'count': 104}
Bureij	{'regex': '(Bureij|31\\.43846|34\\.40409|281142|Bureij|Bureij,Mukhayyam\\ al\\ Burayj,mkhym\\ albryj,مخيم\\ البريج)', 'count': 60}
Al Qararah	{'regex': '(Al\\ Qararah|31\\.37389|34\\.34085|6967865|Al\\ Qarārah|Al\\ Qarara,Al\\ Qararah,Al\\ Qarārah,alqrart,القرارة)', 'count': 1}
Abasan al Kabirah	{'regex': '(Abasan\\ al\\ Kabirah|31\\.31913|34\\.34005|281165|‘Abasān\\ al\\ Kabīrah|Abasan,Abasan\\ Kabera,Abasan\\ al\\ Kabir,Abasan\\ al\\-Kabera,Abasan\\ alkabir,Abasan\\ el\\-Kabir,Abasân\\ el\\-Kabîr,Abasān,Abasān\\ al\\ Kabīr,`Abasan\\ al\\ Kabirah,عبسان\\ الكبيرة,‘Abasān\\ al\\ Kabīrah)', 'count': 0}
Az Zuwaydah	{'regex': '(Az\\ Zuwaydah|31\\.43954|34\\.38053|6967990|Az\\ Zuwāydah|Alzwaydt,Ar\\ Ruwaydah,Az\\ Zuwaydah,Az\\ Zuwāydah,alzwaydt,الزوايدة)', 'count': 0}
Maghazi	{'regex': '(Maghazi|31\\.42234|34\\.38501|281086|Maghazi|Al\\ Maghaze,Maghazi,Mukhayyam\\ Shaykh\\ al\\ Maghazi,Mukhayyam\\ Shaykh\\ al\\ Maghāzī,Mukhayyam\\ al\\ Maghazi,Mukhayyam\\ al\\ Maghāzī,mkhym\\ almghazy,مخيم\\ المغازي)', 'count': 114}
Shukat as Sufi	{'regex': '(Shukat\\ as\\ Sufi|31\\.25997|34\\.2826|281093|Shūkat\\ aş\\ Şūfī|Shawkat\\ as\\ Sufi,Shawkat\\ aş\\ Şūfī,Shoket\\ es\\ Sufi,Shukat\\ as\\ Sufi,Shūkat\\ aş\\ Şūfī,shwkt\\ alswfy,شوكة\\ الصوفي)', 'count': 0}
Khuza'ah	"{'regex': ""(Khuza'ah|31\\.30675|34\\.3611|281119|Khuzā‘ah|Kh\\ Ikhza`a,Kh\\ Ikhza‘a,Khirbat\\ Ikhza`a,Khirbat\\ Ikhza`ah,Khirbat\\ Ikhzā‘a,Khirbat\\ Ikhzā‘ah,Khuza`ah,Khuzā‘ah,خزاعة)"", 'count': 0}"
Al Mughraqah	{'regex': '(Al\\ Mughraqah|31\\.46587|34\\.41208|6968063|Al\\ Mughrāqah|Abu\\ Mudayin,Abū\\ Mudayin,Al\\ Mughraqah,Al\\ Mughrāqah,abw\\ mdyn,almghraqh,ابو\\ مدين,المغراقه)', 'count': 0}
Deir El-Balah	{'regex': '(Deir\\ El\\-Balah|31\\.42393|34\\.33903|281140|Deir\\ El\\-Balah|Deir\\ el\\-Balah,Deir\\ el\\-Balah\\ flyktningleir,Deir\\ el\\-Balah\\ refugee\\ camp,Mukhayyam\\ Dayr\\ al\\ Balah,Mukhayyam\\ Dayr\\ al\\ Balaḩ,mkhym\\ dyr\\ alblh,مخيم\\ دير\\ البلح)', 'count': 234}
An Nasr	{'regex': '(An\\ Nasr|31\\.28137|34\\.30253|6967857|An\\ Naşr|Al\\ Bayk,Al\\ Bayuk,Al\\ Bayūk,An\\ Nasr,An\\ Naşr,albywk,alnsr,البيوك,النصر)', 'count': 69}
Abasan al Jadidah	{'regex': '(Abasan\\ al\\ Jadidah|31\\.34158|34\\.34592|6967863|‘Abasān\\ al\\ Jadīdah|`Abasan\\ al\\ Jadida,`Abasan\\ al\\ Jadidah,`Abasan\\ as\\ Saghirah,عبسان\\ الجديدة,عبسان\\ الصغيرة,‘Abasan\\ al\\ Jadida,‘Abasān\\ al\\ Jadīdah,‘Abasān\\ aş\\ Şaghīrah)', 'count': 0}
Al Fukhkhari	{'regex': '(Al\\ Fukhkhari|31\\.29278|34\\.33061|281160|Al\\ Fukhkhārī|Al\\ Fakhkhari,Al\\ Fakhkhārī,Al\\ Fukhkhari,Al\\ Fukhkhārī,El\\ Fukhkhari,alfkhary,الفخاري)', 'count': 0}
Wadi as Salqa	{'regex': '(Wadi\\ as\\ Salqa|31\\.40048|34\\.33754|6968055|Wādī\\ as\\ Salqā|Wadi\\ as\\ Salga,Wadi\\ as\\ Salqa,Wādī\\ as\\ Salgā,Wādī\\ as\\ Salqā,wady\\ alslqa,وادي\\ السلقا)', 'count': 0}
